,dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genre,literaryform,doctype,ocr_creator,ocr_timestamp,genres
19701,700015613.0,URN:NBN:no-nb_dhlab_700015613,Tildelingsbrev,,,,,,2017-12-22 00:00:00,2017.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet / Norges geologiske undersøkelse ( NGU ) / Norges geologiske undersøkelse / NGU",no,,,Tildelingsbrev,Tildelingsbrev,kudos,kudos,2022-10-13 20:52:10,
19720,700013995.0,URN:NBN:no-nb_dhlab_700013995,Vilje til forskning - museumsforskning i Norge i det 21. århundre,"Utvalg / mfl , Brita Brenna",,,,,2020-09-10 20:11:03,2020.0,Kulturdepartementet / Kultur- og likestillingsdepartementet / KUD,no,,,Evaluering,Rapport,kudos,kudos,2022-10-07 20:11:03,
19789,700008089.0,URN:NBN:no-nb_dhlab_700008089,Årsrapport,,,,,,2019-04-29 00:00:00,2019.0,"Justervesenet / Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",en,,,Årsrapport,Årsrapport,kudos,kudos,2022-06-08 22:51:03,
19805,700005303.0,URN:NBN:no-nb_dhlab_700005303,Årsrapport,,,,,,2019-04-30 00:00:00,2019.0,"GIEK / Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",en,,,Årsrapport,Årsrapport,kudos,kudos,2022-06-08 22:22:48,
19806,700016200.0,URN:NBN:no-nb_dhlab_700016200,Fra gründer til kulturbedrift,,,,,,2013-05-29 00:00:00,2013.0,Kulturdepartementet / Kultur- og likestillingsdepartementet / KUD,no,,,Ukategorisert,Plan/strategi,kudos,kudos,2022-10-06 14:08:02,
19829,700018110.0,URN:NBN:no-nb_dhlab_700018110,"Prop . 71 LS ( 2017–2018 ) : Lov om gjennomføring av EUs forordning om elektronisk identifikasjon og tillitstjenester for elektroniske transaksjoner i det indre marked ( lov om elektroniske tillitstjenester ) , og samtykke til EØS-komiteens beslutning nr. 22 / 2018 om innlemmelse av forordningen i EØS-avtalen",,,,,,2018-04-06 11:45:00,2018.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Proposisjon til Stortinget,Proposisjon,kudos,kudos,2023-02-01 11:14:59,
19835,700016647.0,URN:NBN:no-nb_dhlab_700016647,Gjennomgang og vurdering av SIVAs utenlandsvirksomhet,,,,,,2002-12-16 00:00:00,2002.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Ukategorisert,Rapport,kudos,kudos,2022-10-06 11:34:15,
19836,700004398.0,URN:NBN:no-nb_dhlab_700004398,Tildelingsbrev ( . pdf ),,,,,,2014-01-09 00:00:00,2014.0,Kulturdepartementet / Kultur- og likestillingsdepartementet / KUD / Kulturtanken - Den kulturelle skolesekken / KULTURTANKEN - DEN KULTURELLE SKOLESEKKEN NORGE,no,,,Tildelingsbrev,Tildelingsbrev,kudos,kudos,2022-06-08 21:53:20,
19838,700012973.0,URN:NBN:no-nb_dhlab_700012973,Oppdragsbrev,,,,,,2019-01-14 00:00:00,2019.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet / Innovasjon Norge / Innovasjon Noreg / Innovasjon Norge / Innovasjon Noreg",no,,,Ukategorisert,Oppdragsbrev,kudos,kudos,2022-10-06 14:08:02,
19849,700003172.0,URN:NBN:no-nb_dhlab_700003172,"Vurdering av leveringsplikten , bearbeidingsplikten og aktivitetsplikten : Rapport fra ekspertgruppe nedsatt av Nærings- og fiskeridepartementet","Ekspertgruppe / mfl. , Lars Mathiesen",,,,,2016-10-12 20:08:42,2016.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Forhåndsutredning,Rapport,kudos,kudos,2022-10-07 20:08:42,
19854,700013523.0,URN:NBN:no-nb_dhlab_700013523,Stø kurs 2020,,,,,,2013-08-30 00:00:00,2013.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Ukategorisert,Rapport,kudos,kudos,2022-10-06 11:34:15,
19873,700022314.0,URN:NBN:no-nb_dhlab_700022314,St.prp . nr. 1 ( 2004-2005 ),,,,,,2004-10-01 11:45:00,2004.0,"Fiskeri- og kystdepartementet / Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Proposisjon til Stortinget,Proposisjon,kudos,kudos,2023-02-01 12:15:01,
19890,700022864.0,URN:NBN:no-nb_dhlab_700022864,St.meld . nr. 30 ( 1999-2000 ) : Nordisk samarbeid,,,,,,2000-09-22 10:55:10,2000.0,"Arbeids- og administrasjonsdepartementet / Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Melding til Stortinget,Melding til Stortinget,kudos,kudos,2022-06-09 10:59:17,
19891,700013538.0,URN:NBN:no-nb_dhlab_700013538,Fremtidig dekommisjonering av de nukleære anleggene i Norge : Kvalitetssikring ( KS1 ) utarbeidet på oppdrag fra Finansdepartementet og Nærings- og Fiskeridepartementet,"Oslo Economics / Atkins / Bjørnsgaard , Torolv",,,,,2016-04-15 20:08:14,2016.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,KVU/KS1/KS2,Rapport,kudos,kudos,2022-10-07 20:08:14,
19894,700012010.0,URN:NBN:no-nb_dhlab_700012010,Evaluering av forvaltningen av kongekrabbe,,,,,,2006-03-08 00:00:00,2006.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Evaluering,Rapport,kudos,kudos,2022-10-06 14:00:00,
19897,700024767.0,URN:NBN:no-nb_dhlab_700024767,Utkast til revidert regelverk for Eksfin - til tildelingsbrev for 2022,,,,,,2022-05-12 00:00:00,2022.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet / Eksportfinansiering Norge ( Eksfin ) / Eksfin / EKSPORTFINANSIERING NORGE / GIEK / Eksportkreditt Norge",no,,,Ukategorisert,uspesifisert,kudos,kudos,2022-10-06 14:08:02,
19904,700007243.0,URN:NBN:no-nb_dhlab_700007243,Årsrapport,,,,,,2018-03-15 00:00:00,2018.0,"Design og arkitektur Norge ( DOGA ) / Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",en,,,Årsrapport,Årsrapport,kudos,kudos,2022-06-08 22:11:47,
19911,700016461.0,URN:NBN:no-nb_dhlab_700016461,Handlingsplan mot spilleproblemer 2016-2018,,,,,,2015-11-28 00:00:00,2015.0,Kulturdepartementet / Kultur- og likestillingsdepartementet / KUD,no,,,Ukategorisert,Plan/strategi,kudos,kudos,2022-10-06 14:08:02,
19939,700006928.0,URN:NBN:no-nb_dhlab_700006928,Årsrapport og Riksrevisjonens beretning ( . pdf ),,,,,,2020-06-03 00:00:00,2020.0,Kulturdepartementet / Lotteri- og stiftelsestilsynet / Lotteri- og stiftelsestilsynet / LOTTERI- OG STIFTELSESTILSYNET / Kultur- og likestillingsdepartementet / KUD,no,,,Årsrapport,Årsrapport,kudos,kudos,2022-06-08 22:05:31,
